pregunta,respuesta
¿Puedo presentar póliza de fianza en formato electrónico?,"Sí, es válido este tipo de garantía."
¿Qué sucede si no localizo la afianzadora que emitió mi póliza de fianza?,"En caso de que no aparezca la afianzadora que emitió tu fianza, es posible que no este autorizada para esos fines, por lo que es probable que tu garantía no te sea aceptada."
¿Qué sucede si los textos que contiene mi póliza de fianza no coincide con textos señalados?,Se te emitirá requerimiento para que se modifique dicha situación y presentes tu garantía con los textos correctos.
¿Cualquier banco me puede emitir una carta de crédito?,"No, solo aquellos que cuentan con la autorización correspondiente por parte del SAT."
"¿Qué sucede si la carta de crédito que me expida un Banco, no cumple con los textos que debe contener la misma?","Al no cumplir con los requisitos de procedencia, de conformidad con el artículo 87 del Reglamento del Código Fiscal de la Federación, la autoridad te solicitará la modificación de tu carta de crédito, acordes a los formatos autorizados para ello. En caso de no cumplir con ello, tu trámite no podrá ser aceptado."
"En caso de que mi trámite no haya sido procedente, ¿puedo volver a presentarlo?","Si, puedes presentarlo nuevamente, acompañando a tu solicitud todos los requisitos necesarios."
"¿Puedo emitir cartas de crédito para garantizar adeudos fiscales, sin la autorización del SAT?","No, es indispensable que el SAT te otorgue dicha autorización, de lo contario las cartas de crédito que emitas, no podrán ser aceptadas como garantía del interés fiscal."
¿Cómo valido una carta que no tiene número de invitación?,Todas las cartas emitidas por Cobro Persuasivo cuentan con número de invitación.
¿Cómo obtuvo el SAT los datos para contactarme?,Utilizamos la información con que cuenta el SAT en sus sistemas institucionales.
¿Puedo validar el nombre de quien me contactó?,"Sí. Llama a MarcaSAT 627 22 728 desde la Cuidad de Mexico o 01(55) 627 22 728  del resto del país, opción 9, seguida de opción 1."
Recibí una carta invitación o una llamada ¿Dónde solicito mayor información de mi situación?,"En MarcaSAT 627 22 728 desde la Ciudad México o 01 (55) 627 22 728 del resto del país , opción 9, seguida de opción 1."
